,condition
665,T2
666,T2
667,T2
668,T2
669,T2
670,T2
671,T2
672,T2
673,T2
674,T2
675,T2
676,T2
677,T2
678,T2
679,T2
680,T2
681,T2
682,T2
683,T2
684,T2
685,T2
686,T2
687,T2
688,T2
689,T2
690,T2
691,T2
692,T2
693,T2
694,T2
695,T2
696,T2
697,T2
698,T2
699,T2
700,T2
701,T2
702,T2
703,T2
704,T2
705,T2
706,T2
707,T2
708,T2
709,T2
710,T2
711,T2
712,T2
713,T2
714,T2
715,T2
716,T2
717,T2
718,T2
719,T2
720,T2
721,T2
722,T2
723,T2
724,T2
725,T2
726,T2
727,T2
728,T2
729,T2
730,T2
731,T2
732,T2
733,T2
734,T2
735,T2
736,T2
737,T2
738,T2
739,T2
740,T2
741,T2
742,T2
743,T2
744,T2
745,T2
746,T2
747,T2
748,T2
749,T2
750,T2
751,T2
752,T2
753,T2
754,T2
755,T2
756,T2
757,T2
758,T2
759,T2
760,T2
761,T2
762,T2
763,T2
764,T2
765,T2
766,T2
767,T2
768,T2
769,T2
770,T2
771,T2
772,T2
773,T2
774,T2
775,T2
776,T2
777,T2
778,T2
779,T2
780,T2
781,T2
782,T2
783,T2
784,T2
785,T2
786,T2
787,T2
788,T2
789,T2
790,T2
791,T2
792,T2
793,T2
794,T2
795,T2
796,T2
797,T2
798,T2
799,T2
800,T2
801,T2
802,T2
803,T2
804,T2
805,T2
806,T2
807,T2
808,T2
809,T2
810,T2
811,T2
812,T2
813,T2
814,T2
815,T2
816,T2
817,T2
818,T2
819,T2
820,T2
821,T2
822,T2
823,T2
824,T2
825,T2
826,T2
827,T2
828,T2
829,T2
830,T2
831,T2
832,T2
833,T2
834,T2
835,T2
836,T2
837,T2
838,T2
839,T2
840,T2
841,T2
842,T2
843,T2
844,T2
845,T2
846,T2
847,T2
848,T2
849,T2
850,T2
851,T2
852,T2
853,T2
854,T2
855,T2
856,T2
857,T2
858,T2
859,T2
860,T2
861,T2
862,T2
863,T2
864,T2
865,T2
866,T2
867,T2
868,T2
869,T2
870,T2
871,T2
872,T2
873,T2
874,T2
